Animal_ID,Cohort ,Treatment ,Distance(um),avg_intersection_n,intern_C
1:01,1,Control,5,5.740740741,6
1:01,1,Control,10,7.740740741,8
1:01,1,Control,15,10.22222222,10
1:01,1,Control,20,11.18518519,11
1:01,1,Control,25,12.03703704,12
1:01,1,Control,30,12.37037037,12
1:01,1,Control,35,12.96296296,13
1:01,1,Control,40,11.85185185,12
1:01,1,Control,45,10.88888889,11
1:01,1,Control,50,9.222222222,9
1:01,1,Control,55,7.518518519,8
1:01,1,Control,60,5.888888889,6
1:01,1,Control,65,4.333333333,4
1:01,1,Control,70,2.888888889,3
1:01,1,Control,75,2.259259259,2
1:01,1,Control,80,1.259259259,1
1:01,1,Control,85,0.814814815,1
1:01,1,Control,90,0.407407407,0
1:01,1,Control,95,0.37037037,0
1:01,1,Control,100,0.185185185,0
1:01,1,Control,105,0.148148148,0
1:01,1,Control,110,0.148148148,0
1:01,1,Control,115,0.074074074,0
1:01,1,Control,120,0.037037037,0
1:01,1,Control,125,0,0
1:05,1,Control,5,6.333333333,6
1:05,1,Control,10,8.407407407,8
1:05,1,Control,15,10.48148148,10
1:05,1,Control,20,12.25925926,12
1:05,1,Control,25,13.51851852,14
1:05,1,Control,30,12,12
1:05,1,Control,35,10.62962963,11
1:05,1,Control,40,10.37037037,10
1:05,1,Control,45,10.2962963,10
1:05,1,Control,50,7.518518519,8
1:05,1,Control,55,6.777777778,7
1:05,1,Control,60,5.148148148,5
1:05,1,Control,65,3.555555556,4
1:05,1,Control,70,2.037037037,2
1:05,1,Control,75,1.481481481,1
1:05,1,Control,80,1.518518519,2
1:05,1,Control,85,0.925925926,1
1:05,1,Control,90,0.666666667,1
1:05,1,Control,95,0.518518519,1
1:05,1,Control,100,0.296296296,0
1:05,1,Control,105,0.259259259,0
1:05,1,Control,110,0.148148148,0
1:05,1,Control,115,0.185185185,0
1:05,1,Control,120,0.185185185,0
1:05,1,Control,125,0.074074074,0
1:06,1,Control,5,5.851851852,6
1:06,1,Control,10,7.703703704,8
1:06,1,Control,15,10.14814815,10
1:06,1,Control,20,11.55555556,12
1:06,1,Control,25,12.22222222,12
1:06,1,Control,30,11.74074074,12
1:06,1,Control,35,11.03703704,11
1:06,1,Control,40,9.074074074,9
1:06,1,Control,45,7.962962963,8
1:06,1,Control,50,6.259259259,6
1:06,1,Control,55,4.296296296,4
1:06,1,Control,60,4,4
1:06,1,Control,65,3.148148148,3
1:06,1,Control,70,1.888888889,2
1:06,1,Control,75,1.222222222,1
1:06,1,Control,80,0.592592593,1
1:06,1,Control,85,0.481481481,0
1:06,1,Control,90,0.481481481,0
1:06,1,Control,95,0.185185185,0
1:06,1,Control,100,0.148148148,0
1:06,1,Control,105,0.074074074,0
1:06,1,Control,110,0.074074074,0
1:06,1,Control,115,0.037037037,0
1:06,1,Control,120,0,0
1:06,1,Control,125,0,0
1:07,1,Control,5,6.777777778,7
1:07,1,Control,10,9.296296296,9
1:07,1,Control,15,11.33333333,11
1:07,1,Control,20,12.59259259,13
1:07,1,Control,25,13.62962963,14
1:07,1,Control,30,14.22222222,14
1:07,1,Control,35,13.77777778,14
1:07,1,Control,40,12.22222222,12
1:07,1,Control,45,10.55555556,11
1:07,1,Control,50,9,9
1:07,1,Control,55,6.185185185,6
1:07,1,Control,60,5.37037037,5
1:07,1,Control,65,4.185185185,4
1:07,1,Control,70,2.851851852,3
1:07,1,Control,75,1.888888889,2
1:07,1,Control,80,1.37037037,1
1:07,1,Control,85,1.037037037,1
1:07,1,Control,90,0.62962963,1
1:07,1,Control,95,0.259259259,0
1:07,1,Control,100,0.148148148,0
1:07,1,Control,105,0.037037037,0
1:07,1,Control,110,0,0
1:07,1,Control,115,0,0
1:07,1,Control,120,0,0
1:07,1,Control,125,0,0
1:08,1,Control,5,6.222222222,6
1:08,1,Control,10,9.037037037,9
1:08,1,Control,15,11.59259259,12
1:08,1,Control,20,13.2962963,13
1:08,1,Control,25,13.77777778,14
1:08,1,Control,30,14.25925926,14
1:08,1,Control,35,14.2962963,14
1:08,1,Control,40,12.66666667,13
1:08,1,Control,45,11.25925926,11
1:08,1,Control,50,8.703703704,9
1:08,1,Control,55,6.37037037,6
1:08,1,Control,60,5.111111111,5
1:08,1,Control,65,3.888888889,4
1:08,1,Control,70,2.407407407,2
1:08,1,Control,75,1.888888889,2
1:08,1,Control,80,1.259259259,1
1:08,1,Control,85,0.703703704,1
1:08,1,Control,90,0.185185185,0
1:08,1,Control,95,0.111111111,0
1:08,1,Control,100,0,0
1:08,1,Control,105,0,0
1:08,1,Control,110,0,0
1:08,1,Control,115,0,0
1:08,1,Control,120,0,0
1:08,1,Control,125,0,0
1:12,1,PLX,5,7.962962963,8
1:12,1,PLX,10,10.03703704,10
1:12,1,PLX,15,12.55555556,13
1:12,1,PLX,20,14.51851852,15
1:12,1,PLX,25,16.22222222,16
1:12,1,PLX,30,15.7037037,16
1:12,1,PLX,35,16.25925926,16
1:12,1,PLX,40,16.37037037,16
1:12,1,PLX,45,11.37037037,11
1:12,1,PLX,50,10,10
1:12,1,PLX,55,9.62962963,10
1:12,1,PLX,60,9.259259259,9
1:12,1,PLX,65,1.407407407,1
