Animal_ID,Cohort,Treatment,Region ,FractalDimension(DB),Lacunarity,Density(pixels/area),SpanRatio,Circularity,NumberOfEndpoints,BranchLength(um),NumberBranches,body_area,cell_area_C,body_perimeter,cell_perim_C
1:01,1,Control,2,1.5274,0.4851,0.0806,1.0428,0.8645,52,902.215,121,285,285,37.467,37
1:01,1,Control,2,1.5618,0.3243,0.085,1.0434,0.8609,67,1019.026,135,591.3333333,591,75.94,76
1:01,1,Control,1,1.4206,0.734,0.0408,1.1217,0.8571,62,1104.021,113,526.6666667,527,68.539,69
1:01,1,Control,2,1.6159,0.3156,0.0949,1.169,0.9131,92,1473.047,205,597.3333333,597,84.343,84
1:01,1,Control,3,1.4808,0.4498,0.0544,1.1761,0.825,62,875.1526667,131,630.3333333,630,70.76433333,71
1:01,1,Control,2,1.6252,0.3006,0.0908,1.1762,0.9187,94,1562.526333,209,487,487,52.26966667,52
1:01,1,Control,3,1.3934,0.5117,0.0494,1.1954,0.8344,56,767.5136667,122,1462,1462,90.93933333,91
1:01,1,Control,3,1.4705,0.5043,0.0549,1.2091,0.8355,54,924.169,112,540,540,64.97233333,65
1:01,1,Control,1,1.5807,0.3667,0.101,1.2813,0.8692,58,818.6666667,123,430.6666667,431,62.721,63
1:01,1,Control,3,1.5465,0.3372,0.0755,1.2884,0.9146,60,1032.187667,129,741.6666667,742,96.87566667,97
1:01,1,Control,3,1.566,0.3606,0.0871,1.3166,0.8539,83,1066.548,163,417.6666667,418,58.142,58
1:01,1,Control,3,1.5548,0.3999,0.0709,1.4185,0.775,87,1371.533,184,539,539,82.972,83
1:01,1,Control,3,1.3715,0.7927,0.0408,1.4399,0.6765,52,788.5476667,99,464,464,66.27666667,66
1:01,1,Control,1,1.3887,0.7278,0.0466,1.4543,0.7477,51,901.687,118,191.3333333,191,31.98333333,32
1:01,1,Control,3,1.5488,0.3871,0.079,1.4812,0.8786,84,1205.513667,168,360.6666667,361,50.673,51
1:01,1,Control,1,1.3461,0.6806,0.0352,1.4871,0.7617,43,769.855,93,471.3333333,471,51.90166667,52
1:01,1,Control,1,1.5935,0.3552,0.102,1.5011,0.8556,48,815.703,119,322.6666667,323,54.28733333,54
1:01,1,Control,3,1.4659,0.4649,0.057,1.5126,0.7413,60,839.7033333,117,741.6666667,742,106.25,106
1:01,1,Control,1,1.5107,0.416,0.055,1.5186,0.7904,47,851.1256667,86,399,399,52.42133333,52
